       1909.2000   1.2362573e-14   1.2740304e-15
       1910.6000   1.2978886e-14   1.2831225e-15
       1912.0000   1.5990654e-14   1.4198484e-15
       1913.4000   1.6411033e-14   1.8828437e-15
       1914.8000   1.3566085e-14   3.5497222e-15
       1916.2000   1.1791946e-14   2.0626628e-15
       1917.6000   1.1869658e-14   1.5755006e-15
       1919.0000   1.1400898e-14   1.3044091e-15
       1920.4000   1.2101437e-14   1.2028343e-15
       1921.8000   1.3989962e-14   1.2389433e-15
       1923.2000   1.3780623e-14   1.2461259e-15
       1924.6000   1.2836355e-14   1.4215259e-15
       1926.0000   1.4685633e-14   1.5520514e-15
       1927.4000   1.3820488e-14   1.3219970e-15
       1928.8000   1.0074238e-14   1.5078020e-15
       1930.2000   1.2694791e-14   1.3840242e-15
       1931.6000   1.5019503e-14   1.2151039e-15
       1933.0000   1.2092979e-14   1.2020709e-15
       1934.4000   1.1468808e-14   1.4206682e-15
       1935.8000   1.4277593e-14   1.6236476e-15
