event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2011by,55695.0401,12.952,0.030,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55695.1143,16.791,0.172,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55695.1413,16.130,0.081,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55695.18,13.8,0.16,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55695.18,13.78,0.08,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55695.18,13.6,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55696.14,13.78,0.07,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55696.14,13.82,0.14,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55696.14,13.74,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55697.15,13.8,0.06,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55697.15,13.94,0.15,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55697.7778,13.277,0.031,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55697.7798,13.187,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55697.7826,12.981,0.030,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55697.8777,16.476,0.084,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55697.8809,17.076,0.082,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55697.8838,14.912,0.065,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55698.16,13.83,0.25,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55698.16,14.19,0.09,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55699.0488,13.426,0.031,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55699.0507,13.348,0.030,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55699.0535,13.074,0.031,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55699.19,13.93,0.09,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55699.19,14.32,0.1,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55699.19,13.91,0.18,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55699.7194,16.612,0.084,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55699.7269,17.244,0.083,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55699.7327,15.158,0.072,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.1264,13.832,0.033,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.1283,13.547,0.030,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.1308,13.187,0.031,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.3257,16.857,0.087,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.3337,17.437,0.086,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55701.3400,15.419,0.070,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55702.17,13.92,0.12,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55702.17,14.8,0.12,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55703.16,13.88,0.07,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55703.16,15.04,0.09,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55703.16,13.97,0.18,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55703.6640,14.062,0.035,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55703.6659,13.772,0.031,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55703.6691,13.346,0.032,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55703.7977,17.066,0.090,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55703.8056,17.844,0.097,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55703.8121,15.666,0.071,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55705.0020,14.293,0.037,,U,UVOT,Swift,2014Ap&SS.354...89B
