#CfA3-era Type II SN Natural System Light Curves
#Name	  Band	MJD	     N  NatMag  dMag   Campaign  Camera
SN2001fa  R	52266.21109  1  17.376  0.033  CfA3  4SH
SN2001fa  I	52221.15225  1  16.504  0.028  CfA3  4SH
SN2001fa  I	52225.15027  1  16.660  0.032  CfA3  4SH
SN2001fa  I	52226.29367  1  16.666  0.042  CfA3  4SH
SN2001fa  I	52257.26203  1  16.946  0.031  CfA3  4SH
SN2001fa  I	52258.16954  1  16.984  0.032  CfA3  4SH
SN2001fa  I	52266.21287  1  17.267  0.049  CfA3  4SH
SN2002bx  U	52370.24576  1  15.956  0.042  CfA3  4SH
SN2002bx  U	52372.19764  1  16.107  0.041  CfA3  4SH
SN2002bx  U	52373.18963  1  16.200  0.047  CfA3  4SH
SN2002bx  U	52398.13829  1  18.135  0.065  CfA3  4SH
SN2002bx  U	52402.13791  1  18.160  0.064  CfA3  4SH
SN2002bx  U	52406.13215  1  18.268  0.071  CfA3  4SH
SN2002bx  B	52368.13039  1  16.726  0.020  CfA3  4SH
SN2002bx  B	52370.24896  1  16.729  0.020  CfA3  4SH
SN2002bx  B	52372.20083  1  16.800  0.020  CfA3  4SH
SN2002bx  B	52373.19284  1  16.817  0.020  CfA3  4SH
SN2002bx  B	52384.12630  1  17.165  0.020  CfA3  4SH
SN2002bx  B	52398.14150  1  17.508  0.021  CfA3  4SH
SN2002bx  B	52406.13549  1  17.644  0.022  CfA3  4SH
SN2002bx  V	52368.13289  1  16.614  0.016  CfA3  4SH
SN2002bx  V	52370.25145  1  16.623  0.017  CfA3  4SH
SN2002bx  V	52372.20331  1  16.657  0.018  CfA3  4SH
SN2002bx  V	52373.19534  1  16.657  0.018  CfA3  4SH
SN2002bx  V	52384.12880  1  16.696  0.017  CfA3  4SH
SN2002bx  V	52402.14498  1  16.774  0.017  CfA3  4SH
SN2002bx  V	52406.13799  1  16.838  0.019  CfA3  4SH
SN2002bx  R	52368.13469  1  16.439  0.020  CfA3  4SH
SN2002bx  R	52370.25323  1  16.418  0.022  CfA3  4SH
SN2002bx  R	52372.20510  1  16.432  0.021  CfA3  4SH
SN2002bx  R	52373.19712  1  16.395  0.020  CfA3  4SH
SN2002bx  R	52384.13058  1  16.375  0.021  CfA3  4SH
SN2002bx  R	52402.14747  1  16.396  0.021  CfA3  4SH
SN2002bx  R	52406.13979  1  16.409  0.022  CfA3  4SH
SN2002bx  I	52368.13613  1  16.302  0.022  CfA3  4SH
SN2002bx  I	52370.25469  1  16.266  0.024  CfA3  4SH
SN2002bx  I	52372.20655  1  16.294  0.024  CfA3  4SH
SN2002bx  I	52373.19856  1  16.323  0.024  CfA3  4SH
SN2002bx  I	52384.13204  1  16.208  0.022  CfA3  4SH
SN2002bx  I	52398.14719  1  16.176  0.023  CfA3  4SH
SN2002bx  I	52402.14926  1  16.133  0.022  CfA3  4SH
SN2002bx  I	52406.14123  1  16.188  0.028  CfA3  4SH
SN2002em  B	52579.38916  1  20.227  0.089  CfA3  4SH
SN2002em  B	52580.46407  1  20.157  0.089  CfA3  4SH
SN2002em  B	52614.33213  1  20.822  0.125  CfA3  4SH
SN2002em  V	52579.39231  1  19.073  0.045  CfA3  4SH
SN2002em  V	52580.46721  1  19.126  0.056  CfA3  4SH
SN2002em  V	52614.33528  1  19.316  0.057  CfA3  4SH
SN2002em  V	52633.35104  1  20.032  0.199  CfA3  4SH
SN2002em  V	52635.27304  1  20.086  0.097  CfA3  4SH
SN2002em  V	52705.14861  1  21.549  0.273  CfA3  4SH
SN2002em  R	52579.39478  1  18.670  0.042  CfA3  4SH
