# based on SN2011fe
# The UV and optical spectra are from HST  with a blackbody extension. 
      14780.0  5.64347e-15
      14800.0  5.58503e-15
      14820.0  5.51697e-15
      14840.0  5.49121e-15
      14860.0  5.45045e-15
      14880.0  5.35776e-15
      14900.0  5.29963e-15
      14920.0  5.29751e-15
      14940.0  5.23019e-15
      14960.0  5.12358e-15
      14980.0  5.06721e-15
      15000.0  5.05278e-15
      15020.0  5.04888e-15
      15040.0  5.01062e-15
      15060.0  5.07003e-15
      15080.0  5.19353e-15
      15100.0  5.28016e-15
      15120.0  5.35614e-15
      15140.0  5.42694e-15
      15160.0  5.45926e-15
      15180.0  5.47725e-15
      15200.0  5.48215e-15
      15220.0  5.45302e-15
      15240.0  5.46129e-15
      15260.0  5.47014e-15
      15280.0  5.43585e-15
      15300.0  5.42097e-15
      15320.0  5.47751e-15
      15340.0  5.38167e-15
      15360.0  5.23757e-15
      15380.0  5.17331e-15
      15400.0  5.12859e-15
      15420.0  5.07713e-15
      15440.0  5.02466e-15
      15460.0  4.96709e-15
      15480.0  4.89464e-15
      15500.0  4.82117e-15
      15520.0  4.74828e-15
      15540.0  4.69944e-15
      15560.0  4.65063e-15
      15580.0  4.57883e-15
      15600.0  4.49961e-15
      15620.0  4.41637e-15
      15640.0  4.32345e-15
      15660.0  4.18385e-15
      15680.0  3.99117e-15
      15700.0  3.79015e-15
      15720.0  3.67387e-15
      15740.0  3.67749e-15
      15760.0  3.63487e-15
      15780.0  3.57531e-15
      15800.0  3.56492e-15
      15820.0  3.55850e-15
      15840.0  3.56637e-15
      15860.0  3.62092e-15
      15880.0  3.62981e-15
      15900.0  3.60482e-15
      15920.0  3.56210e-15
      15940.0  3.46660e-15
      15960.0  3.38264e-15
      15980.0  3.28381e-15
      16000.0  3.10939e-15
      16020.0  3.02547e-15
      16040.0  3.07126e-15
      16060.0  3.02354e-15
      16080.0  2.96604e-15
      16100.0  2.98469e-15
      16120.0  3.01671e-15
      16140.0  3.06726e-15
      16160.0  3.07802e-15
      16180.0  3.06264e-15
      16200.0  3.02226e-15
      16220.0  3.00666e-15
      16240.0  3.03066e-15
      16260.0  3.05166e-15
      16280.0  3.10602e-15
      16300.0  3.20194e-15
      16320.0  3.33292e-15
      16340.0  3.44425e-15
      16360.0  3.53129e-15
      16380.0  3.59873e-15
      16400.0  3.61852e-15
      16420.0  3.63382e-15
      16440.0  3.63987e-15
      16460.0  3.64219e-15
      16480.0  3.65659e-15
      16500.0  3.69650e-15
      16520.0  3.75767e-15
      16540.0  3.81624e-15
