#Name	  Band	      MJD	 Mag	  dMag
SN2008in  K           54955.20   15.727   0.001      
SN2008ip  J           54839.41   15.662   0.024       
SN2008ip  J           54842.39   15.611   0.008       
SN2008ip  J           54844.39   15.687   0.015       
SN2008ip  J           54845.38   15.652   0.024       
SN2008ip  J           54846.39   15.607   0.175       
SN2008ip  J           54848.38   15.725   0.031      
SN2008ip  J           54860.33   16.027   0.051      
SN2008ip  J           54861.33   15.931   0.025      
SN2008ip  J           54862.34   16.152   0.044      
SN2008ip  J           54863.33   16.011   0.017      
SN2008ip  J           54865.44   16.089   0.055      
SN2008ip  J           54868.49   16.120   0.024      
SN2008ip  J           54869.46   16.156   0.052      
SN2008ip  J           54873.39   16.130   0.014      
SN2008ip  J           54875.37   16.224   0.032      
SN2008ip  J           54876.38   16.178   0.035      
SN2008ip  J           54877.29   16.105   0.175      
SN2008ip  J           54878.31   16.164   0.043      
SN2008ip  J           54879.31   16.147   0.175      
SN2008ip  J           54880.33   16.253   0.035      
SN2008ip  J           54881.30   16.364   0.056      
SN2008ip  J           54884.36   16.303   0.042      
SN2008ip  J           54888.28   16.338   0.049      
SN2008ip  J           54889.33   16.268   0.022      
SN2008ip  J           54890.27   16.273   0.027      
SN2008ip  J           54891.26   16.299   0.042      
SN2008ip  J           54892.25   16.318   0.040      
SN2008ip  J           54893.39   16.224   0.035      
SN2008ip  J           54898.24   16.255   0.031      
SN2008ip  J           54901.41   16.262   0.175      
SN2008ip  J           54903.26   16.342   0.023      
SN2008ip  J           54904.41   16.519   0.049      
SN2008ip  J           54905.28   16.486   0.042      
SN2008ip  J           54906.22   16.494   0.045      
SN2008ip  J           54907.22   16.354   0.030      
SN2008ip  J           54908.22   16.411   0.042      
SN2008ip  J           54909.21   16.437   0.037      
SN2008ip  H           54839.41   15.602   0.048       
SN2008ip  H           54842.39   15.503   0.022       
SN2008ip  H           54844.39   15.435   0.055       
SN2008ip  H           54845.38   15.416   0.046       
SN2008ip  H           54846.39   15.508   0.043       
SN2008ip  H           54848.38   15.537   0.045      
SN2008ip  H           54860.33   15.661   0.051      
SN2008ip  H           54861.33   15.672   0.050      
SN2008ip  H           54862.34   15.784   0.055      
SN2008ip  H           54863.33   15.793   0.064      
SN2008ip  H           54865.44   15.803   0.175      
SN2008ip  H           54868.49   15.832   0.175      
SN2008ip  H           54869.46   15.757   0.045      
SN2008ip  H           54873.39   15.747   0.059      
SN2008ip  H           54875.37   15.812   0.053      
SN2008ip  H           54876.38   15.883   0.065      
SN2008ip  H           54877.29   15.967   0.092      
SN2008ip  H           54878.31   15.889   0.040      
SN2008ip  H           54879.31   15.845   0.060      
SN2008ip  H           54880.33   16.000   0.052      
SN2008ip  H           54881.30   16.038   0.053      
SN2008ip  H           54884.36   16.083   0.055      
SN2008ip  H           54888.28   16.110   0.055      
SN2008ip  H           54889.33   16.057   0.047      
SN2008ip  H           54890.27   15.934   0.073      
SN2008ip  H           54891.26   16.086   0.057      
SN2008ip  H           54892.25   16.070   0.069      
SN2008ip  H           54893.39   15.941   0.045      
SN2008ip  H           54898.24   15.928   0.070      
SN2008ip  H           54901.41   16.021   0.061      
SN2008ip  H           54903.26   16.008   0.054      
SN2008ip  H           54904.41   16.112   0.059      
SN2008ip  H           54905.28   15.998   0.047      
SN2008ip  H           54906.22   16.192   0.044      
SN2008ip  H           54907.22   15.988   0.050      
SN2008ip  H           54908.22   16.054   0.054      
SN2008ip  H           54909.21   16.076   0.058      
SN2008ip  K           54839.41   15.386   0.053       
SN2008ip  K           54842.39   15.386   0.031       
SN2008ip  K           54844.39   15.239   0.175       
SN2008ip  K           54845.38   15.228   0.034       
SN2008ip  K           54846.39   15.223   0.079       
SN2008ip  K           54848.38   15.277   0.046      
SN2008ip  K           54860.33   15.252   0.043      
SN2008ip  K           54861.33   15.574   0.046      
SN2008ip  K           54862.34   15.531   0.065      
SN2008ip  K           54865.44   15.451   0.175      
SN2008ip  K           54869.46   15.581   0.049      
SN2008ip  K           54873.39   15.457   0.068      
SN2008ip  K           54875.37   15.433   0.175      
SN2008ip  K           54876.38   15.696   0.096      
SN2008ip  K           54877.29   15.468   0.052      
SN2008ip  K           54878.31   15.641   0.086      
SN2008ip  K           54879.31   15.685   0.058      
SN2008ip  K           54880.33   15.597   0.054      
SN2008ip  K           54881.30   15.627   0.051      
SN2008ip  K           54884.36   15.784   0.086      
SN2008ip  K           54888.28   15.921   0.054      
SN2008ip  K           54889.33   15.670   0.070      
SN2008ip  K           54890.27   15.433   0.175      
SN2008ip  K           54891.26   15.799   0.043      
SN2008ip  K           54892.25   15.641   0.250      
SN2008ip  K           54893.39   15.865   0.058      
SN2008ip  K           54898.24   15.705   0.069      
SN2008ip  K           54901.41   15.709   0.048      
SN2008ip  K           54903.26   15.760   0.056      
SN2008ip  K           54904.41   15.692   0.067      
SN2008ip  K           54905.28   15.774   0.051      
SN2008ip  K           54906.22   15.737   0.058      
SN2008ip  K           54908.22   15.650   0.056      
SN2008ip  K           54909.21   15.928   0.001      
SN2009K   J           54847.19   16.563   0.175       
SN2009K   J           54848.19   16.390   0.175       
SN2009K   J           54849.18   16.491   0.175       
SN2009K   J           54851.18   16.296   0.175       
SN2009K   J           54856.18   16.006   0.175       
SN2009K   J           54860.17   15.801   0.250       
SN2009K   J           54861.15   15.939   0.250       
SN2009K   J           54862.16   15.753   0.175       
SN2009K   J           54863.15   15.569   0.250       
SN2009K   J           54864.14   15.742   0.250      
SN2009K   J           54866.12   15.789   0.250      
SN2009K   J           54867.12   15.487   0.175      
SN2009K   J           54869.12   15.276   0.175      
SN2009K   J           54873.13   15.414   0.175      
SN2009K   J           54875.09   15.324   0.175      
SN2009K   J           54879.09   15.442   0.175      
SN2009K   J           54881.12   15.441   0.250      
SN2009K   J           54882.11   15.418   0.250      
SN2009K   J           54884.09   15.432   0.175      
SN2009K   J           54887.12   15.456   0.250      
SN2009K   J           54891.10   15.614   0.175      
SN2009K   J           54892.10   15.558   0.250      
SN2009K   J           54893.10   15.632   0.250      
SN2009K   J           54898.16   15.751   0.250      
SN2009K   H           54847.19   16.043   0.250       
SN2009K   H           54849.18   16.118   0.175       
SN2009K   H           54851.18   15.675   0.175       
SN2009K   H           54856.18   15.797   0.175       
SN2009K   H           54860.17   15.721   0.175       
SN2009K   H           54861.15   15.890   0.175       
SN2009K   H           54862.16   15.759   0.175       
SN2009K   H           54863.15   15.352   0.175       
SN2009K   H           54864.14   15.421   0.175      
SN2009K   H           54865.16   15.439   0.175      
SN2009K   H           54866.12   15.471   0.250      
SN2009K   H           54867.12   15.400   0.175      
SN2009K   H           54869.12   15.197   0.250      
SN2009K   H           54873.13   15.099   0.175      
SN2009K   H           54875.09   14.954   0.175      
SN2009K   H           54879.09   15.231   0.175      
SN2009K   H           54881.12   15.150   0.175      
SN2009K   H           54882.11   15.159   0.175      
SN2009K   H           54884.09   15.198   0.175      
SN2009K   H           54887.12   15.040   0.175      
SN2009K   H           54891.10   15.363   0.175      
SN2009K   H           54892.10   15.067   0.175      
SN2009K   H           54893.10   15.230   0.175      
SN2009K   H           54898.16   15.133   0.175      
SN2009K   K           54849.18   15.897   0.178       
SN2009K   K           54851.18   15.519   0.175       
SN2009K   K           54856.18   15.515   0.217       
SN2009K   K           54861.15   15.437   0.250       
SN2009K   K           54862.16   15.506   0.175       
SN2009K   K           54865.16   15.508   0.175      
SN2009K   K           54873.13   15.090   0.176      
SN2009K   K           54875.09   15.083   0.175      
SN2009K   K           54879.09   15.115   0.175      
SN2009K   K           54881.12   15.126   0.175      
SN2009K   K           54882.11   14.951   0.175      
SN2009K   K           54884.09   15.166   0.175      
SN2009K   K           54887.12   14.811   0.262      
SN2009K   K           54898.16   15.018   0.001      
SN2010al  J           55283.17   15.864   0.175       
SN2010al  J           55284.17   15.794   0.175       
SN2010al  J           55287.15   15.926   0.250       
SN2010al  J           55292.15   15.991   0.175       
SN2009ay  J           54917.44   16.222   0.099       
SN2009ay  J           54918.41   16.318   0.092       
SN2009ay  J           54920.43   16.401   0.057       
SN2009ay  J           54921.41   16.397   0.089       
SN2009ay  J           54922.47   16.410   0.083       
SN2009ay  J           54923.42   16.405   0.085       
SN2009ay  J           54924.46   16.374   0.126       
SN2009ay  J           54927.51   16.356   0.097      
SN2009ay  J           54928.40   16.411   0.087      
SN2009ay  J           54934.48   16.450   0.068      
SN2009ay  J           54937.49   16.592   0.061      
SN2009ay  J           54938.41   16.553   0.076      
SN2009ay  J           54941.49   16.566   0.109      
SN2009ay  J           54942.43   16.483   0.174      
SN2009ay  J           54944.47   16.607   0.123      
SN2009ay  J           54945.40   16.571   0.050      
SN2009ay  J           54946.43   16.572   0.033      
SN2009ay  J           54948.47   16.507   0.095      
SN2009ay  J           54949.40   16.625   0.110      
SN2009ay  J           54950.47   16.653   0.116      
SN2009ay  J           54951.46   16.634   0.176      
SN2009ay  J           54952.42   16.613   0.110      
SN2009ay  J           54954.43   16.576   0.094      
SN2009ay  J           54955.44   16.707   0.122      
SN2009ay  J           54957.46   16.667   0.140      
SN2009ay  H           54917.44   15.899   0.102       
SN2009ay  H           54918.41   15.972   0.081       
SN2009ay  H           54920.43   16.100   0.159       
SN2009ay  H           54921.41   16.066   0.061       
SN2009ay  H           54922.47   16.030   0.051       
SN2009ay  H           54923.42   16.061   0.087       
SN2009ay  H           54924.46   16.089   0.093       
SN2009ay  H           54926.44   15.980   0.065       
SN2009ay  H           54927.51   16.028   0.053      
SN2009ay  H           54928.40   16.100   0.077      
SN2009ay  H           54929.41   16.082   0.086      
SN2009ay  H           54934.48   16.160   0.102      
SN2009ay  H           54937.49   16.202   0.066      
SN2009ay  H           54938.41   16.201   0.082      
SN2009ay  H           54941.49   16.342   0.169      
SN2009ay  H           54942.43   16.151   0.092      
SN2009ay  H           54944.47   16.337   0.113      
SN2009ay  H           54945.40   16.399   0.101      
SN2009ay  H           54946.43   16.265   0.059      
SN2009ay  H           54948.47   16.258   0.060      
SN2009ay  H           54949.40   16.354   0.024      
SN2009ay  H           54950.47   16.271   0.079      
SN2009ay  H           54951.46   16.260   0.068      
SN2009ay  H           54952.42   16.307   0.094      
SN2009ay  H           54954.43   16.378   0.067      
SN2009ay  H           54955.44   16.421   0.090      
SN2009ay  H           54957.46   16.542   0.076      
SN2009ay  K           54919.46   16.108   0.348       
SN2009ay  K           54921.41   15.812   0.277       
SN2009ay  K           54922.47   15.643   0.059       
SN2009ay  K           54923.42   15.780   0.310       
SN2009ay  K           54924.46   15.754   0.256       
SN2009ay  K           54928.40   15.794   0.252      
SN2009ay  K           54937.49   15.757   0.159      
SN2009ay  K           54938.41   15.857   0.162      
SN2009ay  K           54941.49   15.681   0.253      
SN2009ay  K           54942.43   15.782   0.254      
SN2009ay  K           54944.47   15.894   0.296      
SN2009ay  K           54945.40   15.876   0.185      
SN2009ay  K           54948.47   15.879   0.355      
SN2009ay  K           54950.47   15.810   0.279      
SN2009ay  K           54951.46   15.800   0.295      
SN2009ay  K           54952.42   15.651   0.221      
SN2009ay  K           54954.43   15.871   0.093      
SN2009ay  K           54955.44   15.985   0.275      
SN2009ay  K           54957.46   15.726   0.001      
SN2009kr  J           55147.38   14.659   0.175       
SN2009kr  J           55150.36   14.543   0.175      
SN2009kr  J           55152.40   14.422   0.175       
SN2009kr  J           55153.39   14.430   0.175       
SN2009kr  J           55155.30   14.413   0.175      
SN2009kr  J           55156.31   14.403   0.175      
SN2009kr  J           55158.32   14.408   0.175      
SN2009kr  J           55160.32   14.454   0.250      
SN2009kr  J           55161.33   14.512   0.175      
SN2009kr  J           55162.33   14.479   0.175      
SN2009kr  J           55167.24   14.495   0.250      
SN2009kr  J           55168.24   14.531   0.250      
SN2009kr  J           55169.26   14.521   0.250      
SN2009kr  J           55170.26   14.549   0.175      
SN2009kr  J           55171.27   14.584   0.250      
SN2009kr  J           55175.28   14.613   0.175       
SN2009kr  J           55177.27   14.582   0.175       
SN2009kr  H           55147.38   14.504   0.250       
SN2009kr  H           55150.36   14.246   0.250      
SN2009kr  H           55152.40   14.181   0.175       
SN2009kr  H           55153.39   14.214   0.250       
SN2009kr  H           55156.31   14.191   0.250      
SN2009kr  H           55158.32   14.186   0.250      
SN2009kr  H           55159.32   14.142   0.175      
SN2009kr  H           55160.32   14.122   0.175      
SN2009kr  H           55161.33   14.254   0.250      
SN2009kr  H           55162.33   14.130   0.250      
SN2009kr  H           55167.24   14.198   0.250      
SN2009kr  H           55168.24   14.195   0.175      
SN2009kr  H           55169.26   14.256   0.175      
SN2009kr  H           55170.26   14.300   0.250      
SN2009kr  H           55171.27   14.399   0.250      
SN2009kr  H           55175.28   14.328   0.175       
SN2009kr  H           55177.27   14.360   0.250       
SN2009kr  K           55147.38   14.588   0.175       
SN2009kr  K           55150.36   14.045   0.175      
