Time (MJD),UVW2,UVW2err,UVM2,UVM2err,UVW1,UVW1err,U,Uerr,B,Berr,V,Verr
54213.794449999994,0.083,0.070,-0.045,0.052,0.423,0.061,3.625,0.284,12.325,1.050,11.306,0.942
54213.834033333325,0.083,0.070,-0.045,0.052,0.423,0.061,3.625,0.284,12.325,1.050,11.306,0.942
54215.31719285715,0.143,0.054,0.091,0.045,0.331,0.062,3.363,0.286,9.883,0.695,11.267,0.706
54217.26497857143,0.121,0.064,0.051,0.054,0.33,0.057,3.472,0.278,11.273,0.873,10.56,0.788
54217.29317777777,0.121,0.064,0.051,0.054,0.33,0.057,3.472,0.278,11.273,0.873,10.56,0.788
54217.3215,0.121,0.064,0.051,0.054,0.33,0.057,3.472,0.278,11.273,0.873,10.56,0.788
54219.825025,0.091,0.042,nan,nan,0.343,0.058,3.14,0.262,10.46,0.636,8.855,0.542
54223.47297142857,0.071,0.048,-0.003,0.034,0.257,0.054,3.022,0.255,9.96,0.690,8.509,0.578
54223.50182777778,0.071,0.048,-0.003,0.034,0.257,0.054,3.022,0.255,9.96,0.690,8.509,0.578
54223.53043571429,0.071,0.048,-0.003,0.034,0.257,0.054,3.022,0.255,9.96,0.690,8.509,0.578
54225.67959285714,0.097,0.046,0.066,0.038,0.253,0.053,2.916,0.249,9.497,0.636,7.316,0.495
54227.79935,0.044,0.044,0.109,0.043,0.124,0.053,2.998,0.277,8.717,0.615,7.665,0.522
54231.44287857144,0.096,0.042,0.061,0.033,0.204,0.046,2.522,0.213,8.759,0.565,6.681,0.432
54231.47173888889,0.096,0.042,0.061,0.033,0.204,0.046,2.522,0.213,8.759,0.565,6.681,0.432
54231.50022142858,0.096,0.042,0.061,0.033,0.204,0.046,2.522,0.213,8.759,0.565,6.681,0.432
54237.94048333334,0.007,0.035,0.01,0.028,0.239,0.065,2.105,0.247,8.07,0.524,5.667,0.378
54240.95939999999,0.078,0.049,0.046,0.041,0.162,0.077,1.652,0.275,6.487,0.542,5.557,0.453
54244.08924166667,-0.009,0.051,0.013,0.047,nan,nan,nan,nan,7.962,0.707,5.265,0.519
54244.124593750006,-0.009,0.051,0.013,0.047,nan,nan,nan,nan,7.962,0.707,5.265,0.519
54244.156755,-0.001,0.060,0.15,0.075,nan,nan,nan,nan,7.285,0.759,4.777,0.567
54244.22748,0.066,0.046,0.02,0.037,nan,nan,nan,nan,7.127,0.551,4.511,0.387
54244.27937222223,0.066,0.046,0.02,0.037,0.134,0.045,1.928,0.193,7.127,0.551,4.511,0.387
54244.31361428572,0.066,0.046,0.02,0.037,0.134,0.045,1.928,0.193,7.127,0.551,4.511,0.387
54244.3468,0.066,0.046,0.02,0.037,0.134,0.045,1.928,0.193,7.127,0.551,4.511,0.387
54244.826525000004,0.032,0.041,0.004,0.035,nan,nan,nan,nan,7.588,0.544,4.976,0.385
54251.26453571428,-0.005,0.044,0.069,0.044,0.153,0.044,1.478,0.165,6.425,0.545,4.388,0.404
54251.2921,-0.005,0.044,0.069,0.044,0.153,0.044,1.478,0.165,6.425,0.545,4.388,0.404
54251.32156363637,0.076,0.043,0.024,0.032,0.153,0.044,1.478,0.165,6.416,0.482,4.317,0.347
54251.35125,0.076,0.043,0.024,0.032,0.153,0.044,1.478,0.165,6.416,0.482,4.317,0.347
54251.37794285715,0.076,0.043,0.024,0.032,0.153,0.044,1.478,0.165,6.416,0.482,4.317,0.347
54258.14649166667,-0.023,0.034,0.021,0.029,0.106,0.040,1.296,0.151,5.71,0.426,3.412,0.285
54258.18842222222,-0.023,0.034,0.021,0.029,0.106,0.040,1.296,0.151,5.71,0.426,3.412,0.285
54258.2182,0.034,0.037,0.026,0.030,0.106,0.040,1.296,0.151,5.652,0.423,3.504,0.290
54258.24909444445,0.034,0.037,0.026,0.030,0.106,0.040,1.296,0.151,5.652,0.423,3.504,0.290
54258.28092272728,0.041,0.040,0.021,0.032,0.106,0.040,1.296,0.151,5.455,0.436,3.635,0.313
54258.31075,0.041,0.040,0.021,0.032,0.106,0.040,1.296,0.151,5.455,0.436,3.635,0.313
54258.353725,0.041,0.040,0.021,0.032,0.106,0.040,1.296,0.151,5.455,0.436,3.635,0.313
54268.38820833334,0.002,0.045,0.139,0.052,nan,nan,nan,nan,5.892,0.534,3.031,0.345
54268.421675000005,0.002,0.045,0.139,0.052,nan,nan,nan,nan,5.892,0.534,3.031,0.345
54268.467350000006,0.034,0.047,0.005,0.037,0.069,0.039,1.092,0.144,5.235,0.491,2.995,0.332
54268.52828181819,0.039,0.054,0.041,0.049,0.069,0.039,1.092,0.144,6.01,0.594,3.078,0.392
54268.59000000001,0.037,0.046,0.054,0.041,0.069,0.039,1.092,0.144,5.494,0.494,2.741,0.319
54268.65192272728,0.033,0.053,0.018,0.044,0.069,0.039,1.092,0.144,5.249,0.548,2.716,0.367
54268.713931818194,0.082,0.068,0.018,0.044,0.069,0.039,1.092,0.144,4.387,0.591,3.173,0.464
54268.760725,0.082,0.068,0.031,0.059,nan,nan,nan,nan,4.387,0.591,3.173,0.464
54268.795566666675,0.082,0.068,0.031,0.059,nan,nan,nan,nan,4.387,0.591,3.173,0.464
54272.34114166667,0.023,0.039,0.055,0.034,0.125,0.040,0.901,0.133,5.394,0.438,2.708,0.272
54272.38133333333,0.023,0.039,0.055,0.034,0.125,0.040,0.901,0.133,5.394,0.438,2.708,0.272
54272.4105590909,0.026,0.039,0.079,0.036,0.125,0.040,0.901,0.133,4.929,0.416,2.372,0.257
54272.440899999994,0.026,0.039,0.079,0.036,0.125,0.040,0.901,0.133,4.929,0.416,2.372,0.257
54272.471413636355,-0.002,0.039,0.045,0.035,0.125,0.040,0.901,0.133,5.178,0.443,2.161,0.260
54272.500311111115,-0.002,0.039,0.045,0.035,0.125,0.040,0.901,0.133,5.178,0.443,2.161,0.260
54272.54184166667,-0.002,0.039,0.045,0.035,0.125,0.040,0.901,0.133,5.178,0.443,2.161,0.260
54293.0587,nan,nan,nan,nan,0.038,0.035,nan,nan,nan,nan,nan,nan
54301.6747,nan,nan,0.012,0.019,nan,nan,nan,nan,nan,nan,nan,nan
54309.24050714285,-0.007,0.036,-0.013,0.027,-0.016,0.035,0.287,0.110,2.985,0.326,1.101,0.199
54309.26837222222,-0.007,0.036,-0.013,0.027,-0.016,0.035,0.287,0.110,2.985,0.326,1.101,0.199
54309.29827272727,-0.02,0.036,-0.042,0.025,-0.016,0.035,0.287,0.110,3.021,0.334,1.203,0.208
54309.32793888889,-0.02,0.036,-0.042,0.025,-0.016,0.035,0.287,0.110,3.021,0.334,1.203,0.208
54309.35538571428,-0.02,0.036,-0.042,0.025,-0.016,0.035,0.287,0.110,3.021,0.334,1.203,0.208
54448.07384999999,-0.019,0.040,-0.042,0.029,nan,nan,nan,nan,-0.29,0.271,-0.056,0.210
54448.10726875,-0.019,0.040,-0.042,0.029,nan,nan,nan,nan,-0.29,0.271,-0.056,0.210
54448.14065500001,-0.01,0.041,0.051,0.037,nan,nan,nan,nan,0.088,0.284,-0.109,0.208
54448.207255,0.016,0.042,0.008,0.034,nan,nan,nan,nan,-0.092,0.277,-0.173,0.206
54448.24069375,0.016,0.042,0.008,0.034,nan,nan,nan,nan,-0.092,0.277,-0.173,0.206
